ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:29:44,1790180984,36,R,195821,333
00:29:45,1790180985,36,R,195956,333
00:29:46,1790180986,36,R,196092,333
00:29:47,1790180987,36,R,196226,333
00:29:48,1790180988,36,R,196361,333
00:29:49,1790180989,36,R,196497,333
00:29:50,1790180990,36,R,196633,333
00:29:51,1790180991,36,R,196768,333
00:29:52,1790180992,36,R,196904,333
00:29:53,1790180993,36,R,197039,333
00:29:54,1790180994,36,R,197175,333
00:29:55,1790180995,36,R,197310,333
00:29:56,1790180996,36,R,197446,333
00:29:57,1790180997,36,R,197581,333
00:29:58,1790180998,36,R,197716,333
00:29:59,1790180999,36,R,197852,333
00:30:00,1790181000,36,R,197987,333
00:30:01,1790181001,36,R,198122,333
00:30:02,1790181002,36,R,198256,333
00:30:03,1790181003,36,R,198392,333
00:30:04,1790181004,36,R,198528,333
00:30:05,1790181005,36,R,198662,333
00:30:06,1790181006,36,R,198798,333
00:30:07,1790181007,36,R,198933,333
00:30:08,1790181008,36,R,199069,333
00:30:09,1790181009,36,R,199204,333
00:30:10,1790181010,36,R,199339,333
00:30:11,1790181011,36,R,199475,333
00:30:12,1790181012,36,R,199610,333
00:30:13,1790181013,36,R,199745,333
00:30:14,1790181014,36,R,199881,333
00:30:15,1790181015,36,R,200016,333
00:30:16,1790181016,36,R,200151,333
00:30:17,1790181017,36,R,200286,333
00:30:18,1790181018,36,R,200421,333
00:30:19,1790181019,36,R,200557,333
00:30:20,1790181020,36,R,200692,333
00:30:21,1790181021,36,R,200827,333
00:30:22,1790181022,36,R,200962,333
00:30:23,1790181023,36,R,201097,333
00:30:24,1790181024,36,R,201232,333
00:30:25,1790181025,36,R,201366,333
00:30:26,1790181026,36,R,201502,333
00:30:27,1790181027,36,R,201637,333
00:30:28,1790181028,36,R,201773,333
00:30:29,1790181029,36,R,201910,333
00:30:30,1790181030,36,S,201942,333
00:30:31,1790181031,36,S,201969,333
00:30:32,1790181032,36,S,201999,333
00:30:33,1790181033,36,S,202028,333
00:30:34,1790181034,36,S,202059,333
00:30:35,1790181035,36,S,202089,333
00:30:36,1790181036,36,S,202119,333
00:30:37,1790181037,36,S,202149,333
00:30:38,1790181038,36,S,202179,333
00:30:39,1790181039,36,S,202210,333
00:30:40,1790181040,36,S,202239,333
00:30:41,1790181041,36,S,202270,333
00:30:42,1790181042,36,S,202301,333
00:30:43,1790181043,36,S,202331,333
00:30:44,1790181044,36,S,202362,333
00:30:45,1790181045,36,S,202392,333
00:30:46,1790181046,36,S,202423,333
00:30:47,1790181047,36,S,202453,333
00:30:48,1790181048,36,S,202483,333
00:30:49,1790181049,36,S,202512,333
00:30:50,1790181050,36,S,202542,333
00:30:51,1790181051,36,S,202573,333
00:30:52,1790181052,36,S,202604,333
00:30:53,1790181053,36,S,202634,333
00:30:54,1790181054,36,S,202664,333
00:30:55,1790181055,36,S,202694,333
00:30:56,1790181056,36,S,202724,333
00:30:57,1790181057,36,S,202754,333
00:30:58,1790181058,36,S,202784,333
00:30:59,1790181059,36,S,202814,333
00:31:00,1790181060,36,S,202844,333
00:31:01,1790181061,36,S,202874,333
00:31:02,1790181062,36,S,202904,333
00:31:03,1790181063,36,S,202935,333
00:31:04,1790181064,36,S,202964,333
00:31:05,1790181065,36,S,202994,333
00:31:06,1790181066,36,S,203024,333
00:31:07,1790181067,36,S,203055,333
00:31:08,1790181068,36,S,203085,333
00:31:09,1790181069,36,S,203114,333
00:31:10,1790181070,36,S,203144,333
00:31:11,1790181071,36,S,203173,333
00:31:12,1790181072,36,S,203204,333
00:31:13,1790181073,36,S,203234,333
00:31:14,1790181074,36,S,203264,333
00:31:15,1790181075,36,S,203294,333
00:31:16,1790181076,36,S,203324,333
00:31:17,1790181077,36,S,203354,333
00:31:18,1790181078,36,S,203383,333
00:31:19,1790181079,36,S,203413,333
00:31:20,1790181080,36,S,203441,333
00:31:21,1790181081,36,S,203471,333
00:31:22,1790181082,36,S,203501,333
00:31:23,1790181083,36,S,203529,333
00:31:24,1790181084,36,S,203559,333
00:31:25,1790181085,36,S,203589,333
00:31:26,1790181086,36,S,203619,333
00:31:27,1790181087,36,S,203649,333
00:31:28,1790181088,36,S,203680,333
00:31:29,1790181089,36,S,203709,333
00:31:30,1790181090,36,S,203739,333
00:31:31,1790181091,36,S,203768,333
00:31:32,1790181092,36,S,203798,333
00:31:33,1790181093,36,R,203968,333
00:31:34,1790181094,36,R,204159,333
00:31:35,1790181095,36,R,204350,333
00:31:36,1790181096,36,R,204541,333
00:31:37,1790181097,36,R,204733,333
00:31:38,1790181098,36,R,204923,333
00:31:39,1790181099,36,R,205112,333
00:31:40,1790181100,36,R,205301,333
00:31:41,1790181101,36,R,205489,333
00:31:42,1790181102,36,R,205675,333
00:31:43,1790181103,36,R,205856,333
00:31:44,1790181104,36,R,206014,333
00:31:45,1790181105,36,R,206155,333
00:31:46,1790181106,36,R,206294,333
